common name,latin binomial,measure,mean,standard_dev,variance,N_rs,group_size,source_rs,reference_rs,% of groups,N_freq,source_freq,reference_freq
Seychelles warbler,Acrocephalus_sechellensis,number of offspring produced per group per year,0.32,0.58,0.34,1409,2,"""NROffspringDataset.csv"" file excluding groups with non-helping helpers",Borger. M. J.. Richardson. D. S.. Dugdale. H.. Burke. T. & Komdeur. J. (2023) Testing the environmental buffering hypothesis of cooperative breeding in the Seychelles warbler. Auto Ethologica.,54,229,methods,Brouwer. L.. Richardson. D.S.. Eikenaar. C. & Komdeur. J. (2006) The Role of Group Size and Environmental Factors on Survival in a Cooperatively Breeding Tropical Passerine. Journal of Animal Ecology. 75. 1321-1329.
Seychelles warbler,Acrocephalus_sechellensis,number of offspring produced per group per year,0.73,0.85,0.72,231,3,"""NROffspringDataset.csv"" file excluding groups with non-helping helpers",ibid.,33,142,methods,ibid.
Seychelles warbler,Acrocephalus_sechellensis,number of offspring produced per group per year,0.85,0.93,0.86,110,4,"""NROffspringDataset.csv"" file excluding groups with non-helping helpers",ibid.,10,43,methods,ibid.
Seychelles warbler,Acrocephalus_sechellensis,number of offspring produced per group per year,0.88,0.82,0.67,26,5,"""NROffspringDataset.csv"" file excluding groups with non-helping helpers",ibid.,2,8,methods,ibid.
Seychelles warbler,Acrocephalus_sechellensis,number of offspring produced per group per year,0.5,1.22,1.5,6,6,"""NROffspringDataset.csv"" file excluding groups with non-helping helpers",ibid.,1,3,methods,ibid.
Florida scrub jay,Aphelocoma_coerulescens,mean annual fledgling production,1.4,3.2,10.4,1038,2,Figure 5.3,Fitzpatrick. J. W.. & Bowman. R. (2016). Florida scrub-jays: Oversized territories and group defense in a fire-maintained habitat. In W. D. Koenig & J. L. Dickinson (Eds.). Cooperative Breeding in Vertebrates (pp. 77–96). Cambridge: Cambridge University Press. ,45,243,Figure 8.3,Woolfenden. G. E. & Fitzpatrick. J. W. In Stacey. P. B.. & Koenig. W. D. (1990). Cooperative Breeding in Birds: Long-term studies of ecology and behavior. (P. B. Stacey & W. D. Koenig). Cambridge: Cambridge University Press.
Florida scrub jay,Aphelocoma_coerulescens,mean annual fledgling production,1.7,2.1,4.6,456,3,Figure 5.3,ibid.,29,159,Figure 8.3,ibid.
Florida scrub jay,Aphelocoma_coerulescens,mean annual fledgling production,1.8,1.6,2.6,264,4,Figure 5.3,ibid.,16,90,Figure 8.3,ibid.
Florida scrub jay,Aphelocoma_coerulescens,mean annual fledgling production,2,2.5,6,150,5,Figure 5.3,ibid.,6,34,Figure 8.3,ibid.
Florida scrub jay,Aphelocoma_coerulescens,mean annual fledgling production,2.4,1.4,2,51,6,Figure 5.3,ibid.,3,15,Figure 8.3,ibid.
Florida scrub jay,Aphelocoma_coerulescens,mean annual fledgling production,1,1.5,2.2,24,7,Figure 5.3,ibid.,1,3,Figure 8.3,ibid.
pied kingfisher,Ceryle_rudis,number of fledged young ,1.8,0.6,0.36,14,2,Table 3 (Lake Victoria),Reyer. H. U. (1980). Flexible helper structure as an ecological adaptation in the pied kingfisher (Ceryle rudis rudis L.). Behavioral Ecology and Sociobiology. 6(3). 219–227.,34,14,Table 2,Reyer. H. U. (1980). Flexible helper structure as an ecological adaptation in the pied kingfisher (Ceryle rudis rudis L.). Behavioral Ecology and Sociobiology. 6(3). 219–227.
pied kingfisher,Ceryle_rudis,number of fledged young ,3.6,0.5,0.25,12,3,Table 3 (Lake Victoria),ibid.,46,19,Table 2,ibid.
pied kingfisher,Ceryle_rudis,number of fledged young ,4.7,1,1,6,4,Table 3 (Lake Victoria),ibid.,17,7,Table 2,ibid.
brown treecreeper,Climacteris_picumnus,number of fledglings,0.53,0.79,0.63,63,2,Figure 1,Doerr. E. D.. & Doerr. V. A. J. (2007). Positive effects of helpers on reproductive success in the brown treecreeper and the general importance of future benefits. Journal of Animal Ecology. 76(5). 966–976.,60,60,Figure 1,Doerr. E. D.. & Doerr. V. A. J. (2006). Comparative demography of treecreepers: evaluating hypotheses for the evolution and maintenance of cooperative breeding. Behaviour. 72. 147–159.
brown treecreeper,Climacteris_picumnus,number of fledglings,0.77,0.91,0.83,23,3,Figure 1,ibid.,26,26,Figure 1,ibid.
brown treecreeper,Climacteris_picumnus,number of fledglings,2.34,0.57,0.33,3,4,Figure 1,ibid.,5,5,Figure 1,ibid.
brown treecreeper,Climacteris_picumnus,number of fledglings,2.21,1.27,1.62,5,5,Figure 1,ibid.,5,5,Figure 1,ibid.
brown treecreeper,Climacteris_picumnus,number of fledglings,1.51,0.69,0.48,2,6,Figure 1,ibid.,2,2,Figure 1,ibid.
white-winged chough,Corcorax_melanorhamphos,number of fledglings,0.67,0.58,0.33,3,4,Figure 4 (control groups),Boland. C.. Heinsohn. R.. & Cockburn. A. (1997). Experimental manipulation of brood reduction and parental care in cooperatively breeding white-winged choughs. Journal of Animal Ecology. 66. 683-691.,NA,NA,Figure 1,Rowley. I. (1978) Communal activities among white-winged Choughs Corcorax melanorhamphos. Ibis 120. 178-197.
white-winged chough,Corcorax_melanorhamphos,number of fledglings,2,0,0,2,5,Figure 4 (control groups),ibid.,NA,NA,Figure 1,ibid.
white-winged chough,Corcorax_melanorhamphos,number of fledglings,1.5,0.71,0.5,2,6,Figure 4 (control groups),ibid.,NA,NA,Figure 1,ibid.
white-winged chough,Corcorax_melanorhamphos,number of fledglings,2,0,0,2,8,Figure 4 (control groups),ibid.,NA,NA,Figure 1,ibid.
