common name,latin binomial,group_size,N,% of groups,source,reference
Seychelles warbler,Acrocephalus_sechellensis,2,229,54,methods,Brouwer. L.. Richardson. D.S.. Eikenaar. C. & Komdeur. J. (2006) The Role of Group Size and Environmental Factors on Survival in a Cooperatively Breeding Tropical Passerine. Journal of Animal Ecology. 75. 1321-1329.
Seychelles warbler,Acrocephalus_sechellensis,3,142,33,methods,ibid.
Seychelles warbler,Acrocephalus_sechellensis,4,43,10,methods,ibid.
Seychelles warbler,Acrocephalus_sechellensis,5,8,2,methods,ibid.
Seychelles warbler,Acrocephalus_sechellensis,6,3,1,methods,ibid.
Florida scrub jay,Aphelocoma_coerulescens,2,243,45,Figure 8.3,Woolfenden. G. E. & Fitzpatrick. J. W. In Stacey. P. B.. & Koenig. W. D. (1990). Cooperative Breeding in Birds: Long-term studies of ecology and behavior. (P. B. Stacey & W. D. Koenig). Cambridge: Cambridge University Press.
Florida scrub jay,Aphelocoma_coerulescens,3,159,29,Figure 8.3,ibid.
Florida scrub jay,Aphelocoma_coerulescens,4,90,16,Figure 8.3,ibid.
Florida scrub jay,Aphelocoma_coerulescens,5,34,6,Figure 8.3,ibid.
Florida scrub jay,Aphelocoma_coerulescens,6,15,3,Figure 8.3,ibid.
Florida scrub jay,Aphelocoma_coerulescens,7,3,0.6,Figure 8.3,ibid.
Florida scrub jay,Aphelocoma_coerulescens,8,1,0.2,Figure 8.3,ibid.
pied kingfisher,Ceryle_rudis,2,14,34,Table 2,Reyer. H. U. (1980). Flexible helper structure as an ecological adaptation in the pied kingfisher (Ceryle rudis rudis L.). Behavioral Ecology and Sociobiology. 6(3). 219–227.
pied kingfisher,Ceryle_rudis,3,19,46,Table 2,ibid.
pied kingfisher,Ceryle_rudis,4,7,17,Table 2,ibid.
pied kingfisher,Ceryle_rudis,5,1,2,Table 2,ibid.
brown treecreeper,Climacteris_picumnus,2,60,60,Figure 1,Doerr. E. D.. & Doerr. V. A. J. (2006). Comparative demography of treecreepers: evaluating hypotheses for the evolution and maintenance of cooperative breeding. Behaviour. 72. 147–159.
brown treecreeper,Climacteris_picumnus,3,26,26,Figure 1,ibid.
brown treecreeper,Climacteris_picumnus,4,5,5,Figure 1,ibid.
brown treecreeper,Climacteris_picumnus,5,5,5,Figure 1,ibid.
brown treecreeper,Climacteris_picumnus,6,2,2,Figure 1,ibid.
brown treecreeper,Climacteris_picumnus,7,2,2,Figure 1,ibid.
white-winged chough,Corcorax_melanorhamphos,2,2,1,Figure 1,Rowley. I. (1978) Communal activities among white-winged Choughs Corcorax melanorhamphos. Ibis 120. 178-197.
