Supplementary Table S3. Slope estimates from MCMCglmm and metafor models,,,,,
,,,,,
A. Per capita (pc_rs) and total (t_rs) reproductive success across group sizes (ln_gs),,,,,
model: pc_rs ~ ln_gs,fixed terms,𝛽,lwr CI,upr CI,
MCMCglmm,slope,-0.65,-1.01,-0.13,
metafor,slope,-0.88,-1.77,-0.01,
,,,,,
model: t_rs ~ ln_gs,fixed terms,𝛽,lwr CI,upr CI,
MCMCglmm,slope,1.10,0.80,1.53,
metafor,slope,2.09,1.79,2.39,
,,,,,
,,,,,
B. Per capita (pc_rs) and total (t_rs) reproductive success and the frequency of  group sizes (ln_pg),,,,,
model: pc_rs ~ ln_pg,fixed terms,𝛽,lwr CI,upr CI,
MCMCglmm,slope,0.31,0.09,0.46,
metafor,slope,0.42,0.20,0.64,
,,,,,
model: t_rs ~ ln_pg,fixed terms,𝛽,lwr CI,upr CI,
MCMCglmm,slope,-0.36,-0.52,-0.22,
metafor,slope,-0.58,-0.73,-0.44,
,,,,,
,,,,,
C. Accounting for differences in study effort by including the inverse sampling variance (mev),,,,,
model: pc_rs ~ ln_gs + mev,fixed terms,𝛽,lwr CI,upr CI,
MCMCglmm,slope,-0.70,-1.30,-0.07,
,,,,,
model: t_rs ~ ln_gs + mev,fixed terms,𝛽,lwr CI,upr CI,
MCMCglmm,slope,1.10,0.78,1.57,
,,,,,
model: pc_rs ~ ln_pg + mev,fixed terms,𝛽,lwr CI,upr CI,
MCMCglmm,slope,0.32,0.08,0.47,
,,,,,
model: t_rs ~ ln_pg + mev,fixed terms,,lwr CI,upr CI,
MCMCglmm,slope,-0.36,-0.54,-0.23,
,,,,,
,,,,,
